VALOR,INDICADOR,CLASIF,PERIODO,VALOR PERIODO,COD_UBICACION,AMBITO_PROY,DEPARTAMENTO,departamento,indicador,anio,valor,ambito
14.0,PORCENTAJE DE CONFIANZA EN LA PNP,23,AÑO,2016,12,DEPARTAMENTO,JUNÍN,JUNIN,confianza_pnp_pct,2016,14.0,DEPARTAMENTO
13.6,PORCENTAJE DE CONFIANZA EN LA PNP,24,AÑO,2016,8,DEPARTAMENTO,CUSCO,CUSCO,confianza_pnp_pct,2016,13.6,DEPARTAMENTO
9.4,PORCENTAJE DE CONFIANZA EN LA PNP,25,AÑO,2016,17,DEPARTAMENTO,MADRE DE DIOS,MADRE DE DIOS,confianza_pnp_pct,2016,9.4,DEPARTAMENTO
5.7,PORCENTAJE DE CONFIANZA EN LA PNP,26,AÑO,2016,21,DEPARTAMENTO,PUNO,PUNO,confianza_pnp_pct,2016,5.7,DEPARTAMENTO
18.7,PORCENTAJE DE CONFIANZA EN LA PNP,0,AÑO,2017,0,NACIONAL,NACIONAL,NACIONAL,confianza_pnp_pct,2017,18.7,NACIONAL
28.8,PORCENTAJE DE CONFIANZA EN LA PNP,1,AÑO,2017,24,DEPARTAMENTO,TUMBES,TUMBES,confianza_pnp_pct,2017,28.8,DEPARTAMENTO
27.3,PORCENTAJE DE CONFIANZA EN LA PNP,2,AÑO,2017,6,DEPARTAMENTO,CAJAMARCA,CAJAMARCA,confianza_pnp_pct,2017,27.3,DEPARTAMENTO
25.5,PORCENTAJE DE CONFIANZA EN LA PNP,3,AÑO,2017,20,DEPARTAMENTO,PIURA,PIURA,confianza_pnp_pct,2017,25.5,DEPARTAMENTO
23.9,PORCENTAJE DE CONFIANZA EN LA PNP,4,AÑO,2017,1,DEPARTAMENTO,AMAZONAS,AMAZONAS,confianza_pnp_pct,2017,23.9,DEPARTAMENTO
22.4,PORCENTAJE DE CONFIANZA EN LA PNP,5,AÑO,2017,25,DEPARTAMENTO,UCAYALI,UCAYALI,confianza_pnp_pct,2017,22.4,DEPARTAMENTO
22.3,PORCENTAJE DE CONFIANZA EN LA PNP,6,AÑO,2017,16,DEPARTAMENTO,LORETO,LORETO,confianza_pnp_pct,2017,22.3,DEPARTAMENTO
21.7,PORCENTAJE DE CONFIANZA EN LA PNP,7,AÑO,2017,4,DEPARTAMENTO,AREQUIPA,AREQUIPA,confianza_pnp_pct,2017,21.7,DEPARTAMENTO
21.5,PORCENTAJE DE CONFIANZA EN LA PNP,8,AÑO,2017,22,DEPARTAMENTO,SAN MARTÍN,SAN MARTIN,confianza_pnp_pct,2017,21.5,DEPARTAMENTO
21.3,PORCENTAJE DE CONFIANZA EN LA PNP,9,AÑO,2017,14,DEPARTAMENTO,LAMBAYEQUE,LAMBAYEQUE,confianza_pnp_pct,2017,21.3,DEPARTAMENTO
20.1,PORCENTAJE DE CONFIANZA EN LA PNP,10,AÑO,2017,7,DEPARTAMENTO,PROV. CONST. DEL CALLAO,CALLAO,confianza_pnp_pct,2017,20.1,DEPARTAMENTO
19.7,PORCENTAJE DE CONFIANZA EN LA PNP,11,AÑO,2017,1501,DEPARTAMENTO,LIMA METROPOLITANA,LIMA,confianza_pnp_pct,2017,19.7,DEPARTAMENTO
18.9,PORCENTAJE DE CONFIANZA EN LA PNP,12,AÑO,2017,13,DEPARTAMENTO,LA LIBERTAD,LA LIBERTAD,confianza_pnp_pct,2017,18.9,DEPARTAMENTO
18.7,PORCENTAJE DE CONFIANZA EN LA PNP,13,AÑO,2017,11,DEPARTAMENTO,ICA,ICA,confianza_pnp_pct,2017,18.7,DEPARTAMENTO
18.5,PORCENTAJE DE CONFIANZA EN LA PNP,14,AÑO,2017,19,DEPARTAMENTO,PASCO,PASCO,confianza_pnp_pct,2017,18.5,DEPARTAMENTO
18.2,PORCENTAJE DE CONFIANZA EN LA PNP,15,AÑO,2017,1599,DEPARTAMENTO,REGIÓN LIMA,LIMA,confianza_pnp_pct,2017,18.2,DEPARTAMENTO
17.6,PORCENTAJE DE CONFIANZA EN LA PNP,16,AÑO,2017,18,DEPARTAMENTO,MOQUEGUA,MOQUEGUA,confianza_pnp_pct,2017,17.6,DEPARTAMENTO
16.9,PORCENTAJE DE CONFIANZA EN LA PNP,17,AÑO,2017,23,DEPARTAMENTO,TACNA,TACNA,confianza_pnp_pct,2017,16.9,DEPARTAMENTO
16.6,PORCENTAJE DE CONFIANZA EN LA PNP,18,AÑO,2017,2,DEPARTAMENTO,ÁNCASH,ANCASH,confianza_pnp_pct,2017,16.6,DEPARTAMENTO
14.3,PORCENTAJE DE CONFIANZA EN LA PNP,19,AÑO,2017,12,DEPARTAMENTO,JUNÍN,JUNIN,confianza_pnp_pct,2017,14.3,DEPARTAMENTO
12.7,PORCENTAJE DE CONFIANZA EN LA PNP,20,AÑO,2017,9,DEPARTAMENTO,HUANCAVELICA,HUANCAVELICA,confianza_pnp_pct,2017,12.7,DEPARTAMENTO
12.5,PORCENTAJE DE CONFIANZA EN LA PNP,21,AÑO,2017,17,DEPARTAMENTO,MADRE DE DIOS,MADRE DE DIOS,confianza_pnp_pct,2017,12.5,DEPARTAMENTO
12.3,PORCENTAJE DE CONFIANZA EN LA PNP,22,AÑO,2017,3,DEPARTAMENTO,APURÍMAC,APURIMAC,confianza_pnp_pct,2017,12.3,DEPARTAMENTO
12.3,PORCENTAJE DE CONFIANZA EN LA PNP,23,AÑO,2017,5,DEPARTAMENTO,AYACUCHO,AYACUCHO,confianza_pnp_pct,2017,12.3,DEPARTAMENTO
11.5,PORCENTAJE DE CONFIANZA EN LA PNP,24,AÑO,2017,10,DEPARTAMENTO,HUÁNUCO,HUANUCO,confianza_pnp_pct,2017,11.5,DEPARTAMENTO
11.0,PORCENTAJE DE CONFIANZA EN LA PNP,25,AÑO,2017,8,DEPARTAMENTO,CUSCO,CUSCO,confianza_pnp_pct,2017,11.0,DEPARTAMENTO
6.8,PORCENTAJE DE CONFIANZA EN LA PNP,26,AÑO,2017,21,DEPARTAMENTO,PUNO,PUNO,confianza_pnp_pct,2017,6.8,DEPARTAMENTO
17.2,PORCENTAJE DE CONFIANZA EN LA PNP,0,AÑO,2018,0,NACIONAL,NACIONAL,NACIONAL,confianza_pnp_pct,2018,17.2,NACIONAL
25.2,PORCENTAJE DE CONFIANZA EN LA PNP,1,AÑO,2018,24,DEPARTAMENTO,TUMBES,TUMBES,confianza_pnp_pct,2018,25.2,DEPARTAMENTO
23.8,PORCENTAJE DE CONFIANZA EN LA PNP,2,AÑO,2018,20,DEPARTAMENTO,PIURA,PIURA,confianza_pnp_pct,2018,23.8,DEPARTAMENTO
22.7,PORCENTAJE DE CONFIANZA EN LA PNP,3,AÑO,2018,1,DEPARTAMENTO,AMAZONAS,AMAZONAS,confianza_pnp_pct,2018,22.7,DEPARTAMENTO
22.6,PORCENTAJE DE CONFIANZA EN LA PNP,4,AÑO,2018,6,DEPARTAMENTO,CAJAMARCA,CAJAMARCA,confianza_pnp_pct,2018,22.6,DEPARTAMENTO
21.5,PORCENTAJE DE CONFIANZA EN LA PNP,5,AÑO,2018,25,DEPARTAMENTO,UCAYALI,UCAYALI,confianza_pnp_pct,2018,21.5,DEPARTAMENTO
20.7,PORCENTAJE DE CONFIANZA EN LA PNP,6,AÑO,2018,16,DEPARTAMENTO,LORETO,LORETO,confianza_pnp_pct,2018,20.7,DEPARTAMENTO
20.1,PORCENTAJE DE CONFIANZA EN LA PNP,7,AÑO,2018,11,DEPARTAMENTO,ICA,ICA,confianza_pnp_pct,2018,20.1,DEPARTAMENTO
19.6,PORCENTAJE DE CONFIANZA EN LA PNP,8,AÑO,2018,22,DEPARTAMENTO,SAN MARTÍN,SAN MARTIN,confianza_pnp_pct,2018,19.6,DEPARTAMENTO
18.4,PORCENTAJE DE CONFIANZA EN LA PNP,9,AÑO,2018,4,DEPARTAMENTO,AREQUIPA,AREQUIPA,confianza_pnp_pct,2018,18.4,DEPARTAMENTO
18.3,PORCENTAJE DE CONFIANZA EN LA PNP,10,AÑO,2018,1501,DEPARTAMENTO,LIMA METROPOLITANA,LIMA,confianza_pnp_pct,2018,18.3,DEPARTAMENTO
18.2,PORCENTAJE DE CONFIANZA EN LA PNP,11,AÑO,2018,14,DEPARTAMENTO,LAMBAYEQUE,LAMBAYEQUE,confianza_pnp_pct,2018,18.2,DEPARTAMENTO
17.8,PORCENTAJE DE CONFIANZA EN LA PNP,12,AÑO,2018,13,DEPARTAMENTO,LA LIBERTAD,LA LIBERTAD,confianza_pnp_pct,2018,17.8,DEPARTAMENTO
17.7,PORCENTAJE DE CONFIANZA EN LA PNP,13,AÑO,2018,1599,DEPARTAMENTO,REGIÓN LIMA,LIMA,confianza_pnp_pct,2018,17.7,DEPARTAMENTO
17.5,PORCENTAJE DE CONFIANZA EN LA PNP,14,AÑO,2018,7,DEPARTAMENTO,PROV. CONST. DEL CALLAO,CALLAO,confianza_pnp_pct,2018,17.5,DEPARTAMENTO
17.1,PORCENTAJE DE CONFIANZA EN LA PNP,15,AÑO,2018,23,DEPARTAMENTO,TACNA,TACNA,confianza_pnp_pct,2018,17.1,DEPARTAMENTO
