departamento,anio,denuncias_total,meses_observados,anio_completo,denuncias_estafa,denuncias_extorsion,denuncias_hurto,denuncias_otros,denuncias_robo,denuncias_secuestro,denuncias_violencia_contra_la_mujer_e_integrantes,prop_estafa,prop_extorsion,prop_hurto,prop_otros,prop_robo,prop_secuestro,prop_violencia_contra_la_mujer_e_integrantes,diversidad_modalidades,poblacion,ubigeo,denuncias_tasa_100k,denuncias_tasa_100k_lag1,denuncias_total_lag1,denuncias_tasa_yoy,confianza_pnp_pct,percepcion_inseguridad_pct,victimizacion_estafa_pct,victimizacion_pct,victimizacion_robo_pct,victimizacion_pct_lag1,percepcion_inseguridad_pct_lag1,confianza_pnp_pct_lag1,victimizacion_robo_pct_lag1,victimizacion_estafa_pct_lag1,brecha_percepcion_victimizacion,victimizacion_alta_q75_anual
PASCO,2018,3851,12,True,39.0,10.0,636.0,1546.0,210.0,4.0,1406.0,0.010127239678005712,0.0025967281225655675,0.1651519085951701,0.40145416774863674,0.054531290573876914,0.001038691249026227,0.36509997403271877,1.2594164962341845,271704.0,190000,1417.3512351676825,,,,14.5,39.4,6.8,20.2,10.2,,,,,,19.2,0
PASCO,2019,4671,12,True,50.0,19.0,755.0,1892.0,180.0,8.0,1767.0,0.010704345964461572,0.004067651466495397,0.16163562406336973,0.4050524512952259,0.038535645472061654,0.0017126953543138515,0.37829158638407195,1.2357074491754685,272157.0,190000,1716.2887597967351,1417.3512351676825,3851.0,0.2109128049644562,13.1,39.3,5.0,22.1,13.6,20.2,39.4,14.5,10.2,6.8,17.199999999999996,0
PASCO,2020,4297,12,True,76.0,14.0,498.0,1928.0,111.0,13.0,1657.0,0.01768675820339772,0.003258087037468001,0.11589481033279032,0.44868512915987896,0.02583197579706772,0.003025366534791715,0.38561787293460553,1.1788291615660487,271904.0,190000,1580.3371778274684,1716.2887597967351,4671.0,-0.07921253413403917,23.0,17.9,4.0,16.6,10.4,22.1,39.3,13.1,13.6,5.0,1.2999999999999972,0
PASCO,2021,4673,12,True,121.0,23.0,683.0,1951.0,117.0,22.0,1756.0,0.025893430344532422,0.004921891718382195,0.14615878450674086,0.4175048148940723,0.025037449176118127,0.004707896426278622,0.37577573293387545,1.2518548359899908,270842.0,190000,1725.3601730898456,1580.3371778274684,4297.0,0.09176712241987772,18.8,34.7,2.7,12.7,6.6,16.6,17.9,23.0,10.4,4.0,22.000000000000004,0
PASCO,2022,5080,12,True,144.0,56.0,894.0,2251.0,232.0,14.0,1489.0,0.028346456692913385,0.011023622047244094,0.17598425196850392,0.44311023622047246,0.04566929133858268,0.0027559055118110236,0.29311023622047244,1.3340093543099338,269296.0,190000,1886.4000950626819,1725.3601730898456,4673.0,0.09333698811677071,20.1,39.4,5.9,18.4,9.5,12.7,34.7,18.8,6.6,2.7,21.0,0
PASCO,2023,5345,12,True,222.0,86.0,1146.0,2162.0,395.0,11.0,1323.0,0.041534144059869035,0.01608980355472404,0.21440598690364826,0.40449017773620205,0.07390084190832553,0.00205799812909261,0.24752104770813846,1.4456981304942031,267425.0,190000,1998.6912218378984,1886.4000950626819,5080.0,0.05952667574027304,17.9,37.0,5.0,19.0,10.9,18.4,39.4,20.1,9.5,5.9,18.0,0
PASCO,2024,4845,12,True,223.0,59.0,878.0,2279.0,255.0,17.0,1134.0,0.046026831785345716,0.01217750257997936,0.18121775025799794,0.47038183694530444,0.05263157894736842,0.0035087719298245615,0.23405572755417955,1.3743709986003683,265392.0,190000,1825.6013745704468,1998.6912218378984,5345.0,-0.086601594771746,17.7,39.9,2.3,19.0,10.4,19.0,37.0,17.9,10.9,5.0,20.9,0
PIURA,2018,37072,12,True,434.0,377.0,7229.0,9455.0,5813.0,32.0,13732.0,0.011706948640483383,0.010169400086318515,0.19499892101855848,0.25504423823910227,0.1568029779887786,0.0008631851532153647,0.37041432887354336,1.4304562725624879,1974368.0,200000,1877.6641436652135,,,,23.8,55.6,3.4,18.3,10.5,,,,,,37.3,0
PIURA,2019,45045,12,True,594.0,310.0,8000.0,11630.0,7153.0,35.0,17323.0,0.013186813186813187,0.006882006882006882,0.1776001776001776,0.2581862581862582,0.1587967587967588,0.000777000777000777,0.3845709845709846,1.4131560868534823,2013517.0,200000,2237.1303544991174,1877.6641436652135,37072.0,0.19144329514234815,26.1,50.3,2.9,16.4,10.6,18.3,55.6,23.8,10.5,3.4,33.9,0
PIURA,2020,34033,12,True,745.0,261.0,5489.0,10219.0,4302.0,21.0,12996.0,0.02189051802662122,0.007669027120735757,0.1612846355008374,0.3002673875356272,0.12640672288661006,0.0006170481591396585,0.3818646607704287,1.4101532786709365,2047954.0,200000,1661.804903821082,2237.1303544991174,45045.0,-0.2571711789261596,33.1,30.0,2.0,14.6,8.9,16.4,50.3,26.1,10.6,2.9,15.4,0
PIURA,2021,39022,12,True,945.0,546.0,6430.0,12365.0,4642.0,36.0,14058.0,0.024217108297883247,0.013992107016554765,0.16477884270411564,0.31687253344267335,0.11895853621034289,0.0009225565065860284,0.3602583158218441,1.4386366569797984,2077039.0,200000,1878.7321759485499,1661.804903821082,34033.0,0.13053714766918478,26.7,54.0,1.4,10.3,6.2,14.6,30.0,33.1,8.9,2.0,43.7,0
PIURA,2022,46601,12,True,1332.0,1303.0,9749.0,14104.0,7435.0,48.0,12630.0,0.028583077616360163,0.027960773373961932,0.20920151928070213,0.30265444947533315,0.15954593249071908,0.0010300208150039699,0.27102422694791956,1.544387800110596,2103099.0,200000,2215.8253130261583,1878.7321759485499,39022.0,0.17942586037172337,26.6,63.6,5.1,18.1,9.1,10.3,54.0,26.7,6.2,1.4,45.5,0
PIURA,2023,52881,12,True,1613.0,1585.0,11354.0,16868.0,9344.0,36.0,12081.0,0.03050244889468807,0.02997295815132089,0.21470849643539267,0.31898035211134435,0.17669862521510563,0.0006807738129006637,0.22845634537924775,1.5549126177491215,2127093.0,200000,2486.069015318089,2215.8253130261583,46601.0,0.12196074334165741,22.4,63.0,6.1,27.0,12.8,18.1,63.6,26.6,9.1,5.1,36.0,0
PIURA,2024,49731,12,True,1908.0,2164.0,10254.0,17052.0,7145.0,35.0,11173.0,0.038366411292755025,0.043514105889686516,0.20618929842552935,0.3428847197924836,0.1436729605276387,0.0007037863706742274,0.22466871770123265,1.5733986206266166,2149978.0,200000,2313.0934363049296,2486.069015318089,52881.0,-0.06957794733265976,23.1,61.4,4.0,26.5,11.6,27.0,63.0,22.4,12.8,6.1,34.9,0
PROV. CONST. DEL CALLAO,2018,37169,12,True,398.0,72.0,7731.0,10668.0,7151.0,36.0,11113.0,0.010707847937797627,0.0019370981194005757,0.20799591057063682,0.287013371357852,0.1923915090532433,0.0009685490597002879,0.2989857139013694,1.4303486495245452,,,,,,,17.5,57.4,4.1,27.3,19.6,,,,,,30.099999999999998,0
PROV. CONST. DEL CALLAO,2019,34903,12,True,455.0,112.0,6832.0,10469.0,5294.0,30.0,11711.0,0.013036128699538721,0.003208893218347993,0.19574248631922758,0.29994556341861733,0.15167750623155601,0.0008595249692003552,0.335529897143512,1.413974657522237,,,,,37169.0,,20.4,61.4,3.5,28.9,21.5,27.3,57.4,17.5,19.6,4.1,32.5,1
PROV. CONST. DEL CALLAO,2020,25417,12,True,616.0,114.0,3947.0,8578.0,2203.0,31.0,9928.0,0.02423574772789865,0.0044851870795137114,0.15528976669158437,0.337490655860251,0.0866742731242869,0.0012196561356572373,0.3906047133808081,1.3575609924696002,,,,,34903.0,,33.1,35.6,2.8,26.6,20.6,28.9,61.4,20.4,21.5,3.5,9.0,1
PROV. CONST. DEL CALLAO,2021,28268,12,True,850.0,171.0,4040.0,10242.0,2555.0,41.0,10369.0,0.030069336352058867,0.006049242960237724,0.14291778689684448,0.36231781519739636,0.09038488750530635,0.001450403282864016,0.3668105278052922,1.3767643928339406,,,,,25417.0,,26.2,56.5,2.1,19.9,13.7,26.6,35.6,33.1,20.6,2.8,36.6,1
PROV. CONST. DEL CALLAO,2022,32437,12,True,903.0,747.0,3422.0,15296.0,2615.0,55.0,9399.0,0.027838579400067825,0.023029256713012917,0.10549680919937109,0.4715602552640503,0.08061781299133705,0.0016955945371026915,0.2897616918950581,1.35103101923712,,,,,28268.0,,24.3,66.1,3.2,22.2,14.6,19.9,56.5,26.2,13.7,2.1,43.89999999999999,0
PROV. CONST. DEL CALLAO,2023,37580,12,True,1077.0,670.0,5516.0,14891.0,5305.0,52.0,10069.0,0.028658861096327835,0.017828632251197445,0.1467802022352315,0.39624800425758383,0.14116551357104842,0.0013837147418839808,0.267935071846727,1.4604163059780486,,,,,32437.0,,28.7,57.8,5.0,29.2,18.1,22.2,66.1,24.3,14.6,3.2,28.599999999999998,1
PROV. CONST. DEL CALLAO,2024,34536,12,True,1354.0,626.0,5425.0,12900.0,4246.0,37.0,9948.0,0.039205466759323605,0.018126013435255963,0.1570824646745425,0.37352328005559415,0.12294417419504286,0.0010713458420199213,0.288047255038221,1.4818036443732767,,,,,37580.0,,20.0,60.8,3.3,25.7,16.6,29.2,57.8,28.7,18.1,5.0,35.099999999999994,0
