VALOR,INDICADOR,CLASIF,PERIODO,VALOR PERIODO,COD_UBICACION,AMBITO_PROY,DEPARTAMENTO
33,PORCENTAJE DE CONFIANZA EN LA PNP,1,AÑO,2021,6,DEPARTAMENTO,CAJAMARCA
29.8,PORCENTAJE DE CONFIANZA EN LA PNP,2,AÑO,2021,24,DEPARTAMENTO,TUMBES
29,PORCENTAJE DE CONFIANZA EN LA PNP,3,AÑO,2021,1501,DEPARTAMENTO,LIMA METROPOLITANA
28.5,PORCENTAJE DE CONFIANZA EN LA PNP,4,AÑO,2021,1,DEPARTAMENTO,AMAZONAS
28,PORCENTAJE DE CONFIANZA EN LA PNP,5,AÑO,2021,1599,DEPARTAMENTO,REGIÓN LIMA
27.7,PORCENTAJE DE CONFIANZA EN LA PNP,6,AÑO,2021,14,DEPARTAMENTO,LAMBAYEQUE
26.7,PORCENTAJE DE CONFIANZA EN LA PNP,7,AÑO,2021,20,DEPARTAMENTO,PIURA
26.2,PORCENTAJE DE CONFIANZA EN LA PNP,8,AÑO,2021,7,DEPARTAMENTO,PROV. CONST. DEL CALLAO
25.4,PORCENTAJE DE CONFIANZA EN LA PNP,9,AÑO,2021,13,DEPARTAMENTO,LA LIBERTAD
25.2,PORCENTAJE DE CONFIANZA EN LA PNP,10,AÑO,2021,2,DEPARTAMENTO,ÁNCASH
24.5,PORCENTAJE DE CONFIANZA EN LA PNP,11,AÑO,2021,16,DEPARTAMENTO,LORETO
24.5,PORCENTAJE DE CONFIANZA EN LA PNP,12,AÑO,2021,9,DEPARTAMENTO,HUANCAVELICA
23.7,PORCENTAJE DE CONFIANZA EN LA PNP,13,AÑO,2021,11,DEPARTAMENTO,ICA
23.1,PORCENTAJE DE CONFIANZA EN LA PNP,14,AÑO,2021,22,DEPARTAMENTO,SAN MARTÍN
22.7,PORCENTAJE DE CONFIANZA EN LA PNP,15,AÑO,2021,25,DEPARTAMENTO,UCAYALI
22.1,PORCENTAJE DE CONFIANZA EN LA PNP,16,AÑO,2021,4,DEPARTAMENTO,AREQUIPA
19.4,PORCENTAJE DE CONFIANZA EN LA PNP,17,AÑO,2021,18,DEPARTAMENTO,MOQUEGUA
18.8,PORCENTAJE DE CONFIANZA EN LA PNP,18,AÑO,2021,19,DEPARTAMENTO,PASCO
18.7,PORCENTAJE DE CONFIANZA EN LA PNP,19,AÑO,2021,8,DEPARTAMENTO,CUSCO
17.1,PORCENTAJE DE CONFIANZA EN LA PNP,20,AÑO,2021,12,DEPARTAMENTO,JUNÍN
16.8,PORCENTAJE DE CONFIANZA EN LA PNP,21,AÑO,2021,10,DEPARTAMENTO,HUÁNUCO
15.2,PORCENTAJE DE CONFIANZA EN LA PNP,22,AÑO,2021,3,DEPARTAMENTO,APURÍMAC
14.7,PORCENTAJE DE CONFIANZA EN LA PNP,23,AÑO,2021,5,DEPARTAMENTO,AYACUCHO
13.6,PORCENTAJE DE CONFIANZA EN LA PNP,24,AÑO,2021,23,DEPARTAMENTO,TACNA
10.6,PORCENTAJE DE CONFIANZA EN LA PNP,25,AÑO,2021,17,DEPARTAMENTO,MADRE DE DIOS
7.9,PORCENTAJE DE CONFIANZA EN LA PNP,26,AÑO,2021,21,DEPARTAMENTO,PUNO
21.2,PORCENTAJE DE CONFIANZA EN LA PNP,0,AÑO,2022,0,NACIONAL,NACIONAL
30,PORCENTAJE DE CONFIANZA EN LA PNP,1,AÑO,2022,24,DEPARTAMENTO,TUMBES
29.9,PORCENTAJE DE CONFIANZA EN LA PNP,2,AÑO,2022,1,DEPARTAMENTO,AMAZONAS
26.6,PORCENTAJE DE CONFIANZA EN LA PNP,3,AÑO,2022,20,DEPARTAMENTO,PIURA
24.7,PORCENTAJE DE CONFIANZA EN LA PNP,4,AÑO,2022,1599,DEPARTAMENTO,REGIÓN LIMA
24.5,PORCENTAJE DE CONFIANZA EN LA PNP,5,AÑO,2022,1501,DEPARTAMENTO,LIMA METROPOLITANA
24.3,PORCENTAJE DE CONFIANZA EN LA PNP,6,AÑO,2022,7,DEPARTAMENTO,PROV. CONST. DEL CALLAO
23.5,PORCENTAJE DE CONFIANZA EN LA PNP,7,AÑO,2022,22,DEPARTAMENTO,SAN MARTÍN
22.8,PORCENTAJE DE CONFIANZA EN LA PNP,8,AÑO,2022,14,DEPARTAMENTO,LAMBAYEQUE
21.9,PORCENTAJE DE CONFIANZA EN LA PNP,9,AÑO,2022,16,DEPARTAMENTO,LORETO
21,PORCENTAJE DE CONFIANZA EN LA PNP,10,AÑO,2022,11,DEPARTAMENTO,ICA
21,PORCENTAJE DE CONFIANZA EN LA PNP,11,AÑO,2022,6,DEPARTAMENTO,CAJAMARCA
